names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
Pirates of the Caribbean: The Curse of the Black Pearl,09/11/2003 ,78.0,"Adventure, Fantasy, Action","Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.","Johnny Depp, Jack Sparrow, Orlando Bloom, Will Turner, Keira Knightley, Elizabeth Swann, Geoffrey Rush, Hector Barbossa, Jack Davenport, James Norrington, Jonathan Pryce, Weatherby Swann, Lee Arenberg, Pintel, Mackenzie Crook, Ragetti, Damian O'Hare, Gillette",Pirates of the Caribbean: The Curse of the Black Pearl, Released, English,140000000.0,655011224.0,AU
Clifford the Big Red Dog,12/30/2021 ,72.0,"Family, Adventure, Comedy, Fantasy","As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love.","Darby Camp, Emily Elizabeth, Jack Whitehall, Casey, Izaac Wang, Owen Yu, John Cleese, Mr. Bridwell, Tony Hale, Zack Tieran, David Alan Grier, Packard, Paul Rodríguez, Sanchez, Horatio Sanz, Raul, Sienna Guillory, Maggie",Clifford the Big Red Dog, Released, English,64000000.0,78418101.0,AU
Dragon Knight,03/21/2022 ,69.0,"Fantasy, Adventure, Action","Many years after the war has been lost, and all the dragons slain, a lone knight travels the lands of Agonos seeking to raise an army against the demon lord Abaddon. When a healer's vision reveals that one dragon still lives, and together with an eager young squire, the knight sets off in search of the fabled creature. As the armies of Abaddon descend on the human kingdoms, the dragon is their last hope of fending off the horde, before it lays waste to the lands of men. But does the creature even exist? And if it does, will it fight for them once more?","Ryan Livingstone, Braedyn, Megan Tremethick, Jigme, Regan Walker, Edwin, Michael Daviot, Highfather Albens",Dragon Knight, Released, English,149000000.0,526557525.4,GB
Cruella,05/27/2021 ,81.0,"Comedy, Crime","In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.","Emma Stone, Estella / Cruella, Emma Thompson, The Baroness, Joel Fry, Jasper, Paul Walter Hauser, Horace, Mark Strong, John the Valet, Tipper Seifert-Cleveland, Estella (12 yrs), Kirby Howell-Baptiste, Anita Darling, Emily Beecham, Catherine, John McCrea, Artie",Cruella, Released, English,200000000.0,233503234.0,AU
The Suicide Squad,08/05/2021 ,76.0,"Action, Comedy, Adventure","Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.","Margot Robbie, Harleen Quinzel / Harley Quinn, Idris Elba, Robert DuBois / Bloodsport, John Cena, Christopher Smith / Peacemaker, Joel Kinnaman, Colonel Rick Flag, Sylvester Stallone, Nanaue / King Shark (voice), Viola Davis, Amanda Waller, David Dastmalchian, Abner Krill / Polka-Dot Man, Daniela Melchior, Cleo Cazo / Ratcatcher 2, Michael Rooker, Brian Durlin / Savant",The Suicide Squad, Released, English,185000000.0,167097737.0,AU
Drifting Home,09/16/2022 ,76.0,"Animation, Drama, Fantasy, Adventure","One fateful summer, a group of elementary school kids set adrift on an abandoned apartment building must look within themselves to find a way back home.","Mutsumi Tamura, Kosuke Kumagaya (voice), Asami Seto, Natsume Tonai (voice), Ayumu Murase, Noppo (voice), Daiki Yamashita, Yuzuru Tachibana (voice), Yumiko Kobayashi, Taishi Koiwai (voice), Inori Minase, Reina Haba (voice), Kana Hanazawa, Juri Ando (voice), Bin Shimada, Yasuji Kumagaya (voice), Rikako Aikawa, Yasuko Kumagaya (voice)", 雨を告げる漂流団地, Released, Japanese,119000000.0,583004188.8,JP
The Bad Guys,03/31/2022 ,77.0,"Animation, Action, Adventure, Crime, Comedy, Family","When the Bad Guys, a crew of criminal animals, are finally caught after years of heists and being the world’s most-wanted villains, Mr. Wolf brokers a deal to save them all from prison.","Sam Rockwell, Wolf (voice), Marc Maron, Snake (voice), Awkwafina, Tarantula (voice), Craig Robinson, Shark (voice), Anthony Ramos, Piranha (voice), Richard Ayoade, Professor Marmalade (voice), Zazie Beetz, Diane Foxington (voice), Alex Borstein, Police Chief Misty Luggins (voice), Lilly Singh, Tiffany Fluffit (voice)",The Bad Guys, Released, English,70000000.0,250659286.0,AU
The Remaining,09/05/2014 ,59.0,"Thriller, Horror","When a group of close-knit friends assemble for the marriage of Skylar and Dan, they have no idea they will witness The Rapture and face a series of catastrophic events turning the celebration into a life-or-death struggle.","Alexa PenaVega, Skylar, Johnny Pacar, Tommy, Shaun Sipos, Jack, Italia Ricci, Allison, Bryan Dechart, Dan, Liz E. Morgan, Sam, John Pyper-Ferguson, Pastor Shay, Kim Pacheco, Nurse Rachel, Hayley Lovitt, Southern Belle",The Remaining, Released, English,7270000.0,1169603.0,US
The Last: Naruto the Movie,12/06/2014 ,78.0,"Action, Romance, Animation","Two years after the events of the Fourth Great Ninja War, the moon that Hagoromo Otsutsuki created long ago to seal away the Gedo Statue begins to descend towards the world, threatening to become a meteor that would destroy everything on impact. Amidst this crisis, a direct descendant of Kaguya Otsutsuki named Toneri Otsutsuki attempts to kidnap Hinata Hyuga but ends up abducting her younger sister Hanabi. Naruto and his allies now mount a rescue mission before finding themselves embroiled in a final battle to decide the fate of everything.","Junko Takeuchi, Naruto Uzumaki (voice), Nana Mizuki, Hinata Hyūga (voice), Jun Fukuyama, Toneri Ōtsutsuki (voice), Chie Nakamura, Sakura Haruno (voice), Showtaro Morikubo, Shikamaru Nara (voice), Kazuhiko Inoue, Kakashi Hatake (voice), Akira Ishida, Gaara, The Fifth Kazekage (voice), Hideaki Tezuka, A, The Fourth Raikage (voice), Yurika Hino, Mei Teriumî, The Fifth Mizukage (voice)", THE LAST -NARUTO THE MOVIE-, Released, Japanese,903852.0,19840000.0,JP
Pirates of the Caribbean: On Stranger Tides,05/19/2011 ,65.0,"Adventure, Action, Fantasy","Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.","Johnny Depp, Jack Sparrow, Penélope Cruz, Angelica, Geoffrey Rush, Hector Barbossa, Ian McShane, Edward ""Blackbeard"" Teach, Kevin McNally, Joshamee Gibbs, Sam Claflin, Philip, Astrid Bergès-Frisbey, Syrena, Stephen Graham, Scrum, Keith Richards, Captain Teague",Pirates of the Caribbean: On Stranger Tides, Released, English,379000000.0,1045713802.0,AU
There's Something Wrong with the Children,01/17/2023 ,61.0,"Horror, Mystery, Thriller","Margaret and Ben take a weekend trip with longtime friends Ellie and Thomas and their two young children. Eventually, Ben begins to suspect something supernatural is occurring when the kids behave strangely after disappearing into the woods overnight.","Zach Gilford, Ben, Alisha Wainwright, Margaret, Amanda Crew, Ellie, Carlos Santos, Thomas, Briella Guiza, Lucy, David Mattle, Spencer",There's Something Wrong with the Children, Released, English,97200000.0,463920468.0,US
Prom Pact,03/31/2023 ,75.0,"Romance, Comedy","It's prom season, and high school senior Mandy and her best friend and fellow outsider Ben are surrounded by over-the-top ""promposals."" Mandy is only focused on getting into her dream school Harvard, but as she starts tutoring basketball all-star Graham, she must re-evaluate whether her dream school is worth the cost of everything she believes in.","Peyton Elizabeth Lee, Mandy Coleman, Milo Manheim, Ben, Margaret Cho, Ms. Chen, Blake Draper, Graham Lansing, Monique A. Green, LaToya, Arica Himmel, Zenobia, Jason Sakaki, Charles, David S. Jung, Tom Coleman, Nolen Dubuc, Kyle",Prom Pact, Released, English,96200000.0,412160901.0,AU
Coco,12/26/2017 ,82.0,"Family, Animation, Fantasy, Music, Comedy, Adventure","Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.","Anthony Gonzalez, Miguel Rivera (voice), Gael García Bernal, Héctor (voice), Benjamin Bratt, Ernesto de la Cruz (voice), Alanna Ubach, Mamá Imelda Rivera (voice), Renée Victor, Elena Rivera (voice), Jaime Camil, Papá Enrique Rivera (voice), Alfonso Arau, Papá Julio Rivera (voice), Herbert Siguenza, Tío Oscar Rivera / Tío Felipe Rivera (voice), Lombardo Boyar, Mariachi / Gustavo (voice)",Coco, Released, English,175000000.0,797660271.0,AU
The Sea Beast,07/08/2022 ,75.0,"Animation, Adventure, Family, Fantasy","In an era when terrifying beasts roamed the seas, monster hunters were celebrated heroes. None were more beloved than the great Jacob Holland. But when young Maisie Brumble stows away on his fabled ship, he's saddled with an unexpected ally. Together they embark on an epic journey into uncharted waters and make history.","Karl Urban, Jacob Holland (voice), Zaris-Angel Hator, Maisie Brumble (voice), Jared Harris, Captain Crow (voice), Marianne Jean-Baptiste, Sarah Sharpe (voice), Benjamin Plessala, Child 1 (voice), Somali Rose, Child 2 (voice), Kaya McLean, Child 3 (voice), Davis Pak, Child 4 / Village Boy (voice), Helen Sadler, Ms. Merino / Matron / Cart Driver (voice)",The Sea Beast, Released, English,116200000.0,649271677.4,AU
Toy Story,12/07/1995 ,80.0,"Animation, Adventure, Family, Comedy","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","Tom Hanks, Woody (voice), Tim Allen, Buzz Lightyear (voice), Don Rickles, Mr. Potato Head (voice), Jim Varney, Slinky Dog (voice), Wallace Shawn, Rex (voice), John Ratzenberger, Hamm (voice), Annie Potts, Bo Peep (voice), John Morris, Andy (voice), Erik von Detten, Sid (voice)",Toy Story, Released, English,30000000.0,365270951.0,AU
The Boss Baby: Family Business,11/25/2021 ,75.0,"Animation, Comedy, Adventure, Family",The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,"Alec Baldwin, Theodore Templeton (voice), James Marsden, Tim Templeton (voice), Amy Sedaris, Tina Templeton (voice), Jeff Goldblum, Dr. Armstrong (voice), Eva Longoria, Carol Templeton (voice), Lisa Kudrow, Janice Templeton (voice), Jimmy Kimmel, Ted Templeton (voice), Ariana Greenblatt, Tabitha Templeton (voice), James McGrath, Wizzie (voice)",The Boss Baby: Family Business, Released, English,82000000.0,146281732.0,AU
Housewife Sex Slaves: Hatano Yui,01/09/2015 ,0.0,,We don't have an overview translated in English. Help us expand our database by adding one.,"Yui Hatano, ", 人妻性奴隷 波多野結衣, Released, Japanese,167540000.0,175269998.8,JP
The Independent,11/02/2022 ,73.0,"Thriller, Drama","It's the final weeks of the most consequential presidential election in history. America is poised to elect either its first female president or its first viable independent candidate. Reporting history as it's made, an idealistic young journalist teams up with her idol, legendary journalist Nick Booker, to uncover a conspiracy that places the fate of the election, and the country, in their hands.","Jodie Turner-Smith, Elisha ""Eli"" James, Brian Cox, Nick Booker, Ali Marsh, Sharon Romney, Luke Kirby, Lucas Nicoll, John Cena, Nate Sterling, Ann Dowd, Patricia Turnball, Margaret Odette, Jennifer Cooke, Alysia Reiner, Kathy Gibbs, Victor Slezak, President Archer",The Independent, Released, English,80000000.0,522029092.4,US
Joseph,04/16/1995 ,82.0,"Drama, History","The Biblical story of Joseph, who was sold to slavery by his brothers who were jealous of his prophetic abilities to analyze dreams and of his being their fathers' favorite.","Ben Kingsley, Potifar, Paul Mercurio, Josef, Dominique Sanda, Lea, Lesley Ann Warren, Potifars Frau, Martin Landau, Jakob, Alice Krige, Rahel, Warren Clarke, Ednan, Monica Bellucci, Pharaos Frau, Stefano Dionisi, Pharao",Joseph, Released, English,143260000.0,865531384.0,US
Fullmetal Alchemist: The Revenge of Scar,05/20/2022 ,68.0,"Fantasy, Action, Adventure",The Elric brothers meet their toughest opponent yet — a lone serial killer with a large scar on his forehead.,"Ryosuke Yamada, Edward Elric, Atomu Mizuishi, Alphonse Elric, Tsubasa Honda, Winry Rockbell, Dean Fujioka, Roy Mustang, Jun Fubuki, Pinako Rockbell, Naohito Fujiki, Yuriy Rockbell, Mackenyu, Scar, Yuina Kuroshima, Lan Fan, Misako Renbutsu, Riza Hawkeye", 鋼の錬金術師 完結編 復讐者スカー, Released, Japanese,120400000.0,614097908.4,JP
Titanic,12/18/1997 ,79.0,"Drama, Romance","101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.","Leonardo DiCaprio, Jack Dawson, Kate Winslet, Rose DeWitt Bukater, Billy Zane, Cal Hockley, Kathy Bates, Molly Brown, Frances Fisher, Ruth DeWitt Bukater, Gloria Stuart, Old Rose, Victor Garber, Thomas Andrews, Bill Paxton, Brock Lovett, Bernard Hill, Edward Smith",Titanic, Released, English,200000000.0,2222985568.0,AU
The Hunger Games: Mockingjay - Part 1,11/20/2014 ,68.0,"Science Fiction, Adventure, Thriller",Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,"Jennifer Lawrence, Katniss Everdeen, Josh Hutcherson, Peeta Mellark, Liam Hemsworth, Gale Hawthorne, Woody Harrelson, Haymitch Abernathy, Elizabeth Banks, Effie Trinket, Julianne Moore, President Alma Coin, Philip Seymour Hoffman, Plutarch Heavensbee, Jeffrey Wright, Beetee, Stanley Tucci, Caesar Flickerman",The Hunger Games: Mockingjay - Part 1, Released, English,125000000.0,766575131.0,AU
The Autopsy of Jane Doe,12/09/2016 ,67.0,"Horror, Mystery","Father and son coroners receive a mysterious unidentified corpse with no apparent cause of death. As they attempt to examine the ""Jane Doe,"" they discover increasingly bizarre clues that hold the key to her terrifying secrets.","Emile Hirsch, Austin Tilden, Brian Cox, Tommy Tilden, Ophelia Lovibond, Emma, Olwen Catherine Kelly, Jane Doe, Michael McElhatton, Sheriff Sheldon, Parker Sawyers, Officer Cole, Jane Perry, Lieutenant Wade, Mark Phoenix, Louis Tannis, Mary Duddy, Irene Daniels",The Autopsy of Jane Doe, Released, English,24570496.6,5972942.0,AU
Corrective Measures,04/29/2022 ,52.0,"Action, Science Fiction, Thriller","Set in San Tiburon, the world's most dangerous maximum-security penitentiary and home to the world's most treacherous superpowered criminals, where tensions among the inmates and staff heighten, leading to anarchy that engulfs the prison and order is turned upside down.","Bruce Willis, Julius “The Lobe” Loeb, Michael Rooker, Warden Devlin, Hayley Sales, Dr. Isabelle Josephs, Kat Ruston, Officer Liz Morales, Matthew Kevin Anderson, Danny Breeze, Doug Bradley, Senator Zechariah, Tom Cavanagh, Gordon Tweedy, Dan Payne, Payback, Brennan Mejia, Diego Diaz",Corrective Measures, Released, English,105000000.0,354205502.2,US
The Jack in the Box: Awakening,01/03/2022 ,64.0,Horror,"When a vintage Jack-in-the-box is opened by a dying woman, she enters into a deal with the demon within that would see her illness cured in return for helping it claim six innocent victims.","Matt McClure, Edgar Marsdale, Mollie Hindle, Amy Proctor, James Swanton, Jack, Nicola Wright, Olga Marsdale, Nicholas Anscombe, Doctor Clarke, Michaela Longden, Janet, Erina Mashate, Stacey, Jason Farries, Frank, Victor Mellors, Issac Huxley",The Jack in the Box: Awakening, Released, English,35442225.8,195189.0,GB
Choose or Die,04/15/2022 ,54.0,"Horror, Thriller, Science Fiction","In pursuit of an unclaimed $125,000 prize, a broke college dropout decides to play an obscure, 1980s survival computer game. But the game curses her, and she’s faced with dangerous choices and reality-warping challenges. After a series of unexpectedly terrifying moments, she realizes she’s no longer playing for the money but for her life.","Iola Evans, Kayla, Asa Butterfield, Isaac, Robert Englund, Robert Englund, Angela Griffin, Thea, Ryan Gage, Lance, Eddie Marsan, Hal, Kate Fleetwood, Laura, Joe Bolland, Beck, Ioanna Kimbook, Grace",Choose or Die, Released, English,174000000.0,474753914.4,GB
Project Wolf Hunting,10/13/2022 ,65.0,"Action, Thriller, Horror","While under heavily armed guard, the dangerous convicts aboard a cargo ship unite in a coordinated escape attempt that soon escalates into a bloody, all-out riot. But as the fugitives continue their brutal campaign of terror, they soon discover that not even the most vicious among them is safe from the horror they unknowingly unleashed from the darkness below deck.","Seo In-guk, Park Jong-du, Jang Dong-yoon, Lee Do-il, Park Ho-san, Lee Seok-woo, Jung So-min, Lee Da-yeon, Ko Chang-seok, Ko Gun-bae, Jang Young-nam, Choi Myung-ju, Sung Dong-il, Oh Dae-woong, Son Jong-hak, Son Soo-cheol, Lee Sung-wook, Dr. Lee Kyung-ho", 늑대사냥, Released, Korean,115200000.0,220908446.2,AU
Lost Bullet 2,11/10/2022 ,65.0,"Action, Crime, Thriller","Having cleared his name, genius mechanic Lino has only one goal in mind: getting revenge on the corrupt cops who killed his brother and his mentor.","Alban Lenoir, Lino, Stéfi Celma, Julia, Pascale Arbillot, Moss, Sébastien Lalanne, Marco, Diego Martín, Álvaro, Jérôme Niel, Yann, Anne Serra, Stella, Quentin D'Hainaut, Yuri, Thibaut Évrard, Lieutenant Bruno", Balle perdue 2, Released, French,122800000.0,377993107.0,FR
Crawlspace,03/31/2022 ,66.0,Thriller,"After witnessing a brutal murder in a cabin, a man hides in a crawlspace while the killers scour the property for a hidden fortune. As they draw nearer, he must decide if the crawlspace will be his tomb or the battleground in his fight for survival.","Henry Thomas, Robert, Bradley Stryker, Sterling, C. Ernst Harth, Dooley, Jennifer Robertson, Jordan, Olivia Taylor Dudley, Carrie, Catherine Lough Haggquist, Helen Masur, Carlos Joe Costa, Sheriff Higgon, Colin Decker, Tim Witner, Andrei Kovski, Vladimir",Crawlspace, Released, English,110600000.0,660008190.4,US
The Good Neighbor,09/01/2022 ,71.0,Thriller,"A nightmarish evening unfolds for David, a former New York Times journalist, when he and his strange new neighbor Robert, accidentally hit a girl on her bike. Buzzed and disoriented, David lets Robert convince him to flee the scene and leave the girl for dead, in order to protect his career. Robert shows no remorse, and in the name of friendship he does unspeakable things to protect the secret. Now that the police are full-on hunting for the hit-and-run killer, things begin to spiral out of control when David’s local newspaper sends him to cover the story where he meets the deceased girl’s sister Vanessa. Despite the circumstances, and her deep desire to find her sister’s killer, the two immediately have a romantic connection, which surprises and haunts David, while pushing Robert to take brutal steps to keep his new friend to himself.","Jonathan Rhys Meyers, Robert, Luke Kleintank, David, Eloise Smyth, Vanessa, Bruce Davison, Grant, Ieva Florence-Vīksne, Janine, Regīna Razuma, Mrs. Petrova, Guna Zariņa, Juta Reine, Kaspars Znotiņš, Henry, Tom J. Benedict, Policeman",The Good Neighbor, Released, English,105.0,94909.0,AU
The Trapped 13: How We Survived The Thai Cave,10/05/2022 ,69.0,Documentary,"In this compelling documentary, members of the Thai youth soccer team tell their stories of getting trapped in Tham Luang Cave in 2018 — and surviving.","Ekapol Chanthawong, Self, Ei Khan, Titna's mother, Panumas Sangdee, Mig, Chanin Vibulrungruang, Titna, June Yoon, Various Interviewees (voice)", 13 หมูป่า: เรื่องเล่าจากในถ้ำ, Released, Thai,111600000.0,767228967.6,TH
Groot's First Steps,08/10/2022 ,71.0,"Animation, Family, Comedy, Science Fiction","Following the events of “Guardians of the Galaxy Vol. 1,” Baby Groot is finally ready to try taking his first steps out of his pot—only to learn you have to walk before you can run.","Vin Diesel, Baby Groot (voice), Fred Tatasciore, Additional Voices (voice)",Groot's First Steps, Released, English,131400000.0,730150001.2,US
Son of God,02/28/2014 ,69.0,Drama,"The life story of Jesus is told from his humble birth through his teachings, crucifixion and ultimate resurrection.","Roma Downey, Mary, Mother of Jesus, Diogo Morgado, Jesus, Louise Delamere, Claudia, Darwin Shaw, Peter, Amber Rose Revah, Mary Magdalene, Andrew Brooke, Antonius, Simon Kunz, Nicodemus, William Houston, Moses, Nonso Anozie, Samson",Son of God, Released, English,22000000.0,70949793.0,US
Sword Art Online the Movie -Progressive- Aria of a Starless Night,12/09/2021 ,80.0,"Animation, Action, Fantasy, Science Fiction","One month after Kayaba Akihiko's game of death began, the death toll continues to rise, two thousand players having already lost their lives to the ultra-difficult VRMMO world of Sword Art Online. On the day of the strategy meeting to plan out the first-floor boss battle, Kirito, a solo player who vows to fight alone to get stronger, runs into a rare, high-level female player. She gracefully dispatches powerful monsters with a single rapier that flashes like a shooting star in the night...","Yoshitsugu Matsuoka, Kirito (voice), Haruka Tomatsu, Asuna ""Asuna"" Yuuki (voice), Inori Minase, Misumi ""Mito"" Tozawa (voice), Koichi Yamadera, Akihiko Kayaba (voice), Hiroki Yasumoto, Agil (voice), Nobuyuki Hiyama, Diabel (voice), Rina Hidaka, Silica (voice), Ryusei Nakao, Mito Avatar (Voice), Tomokazu Seki, Kibaou (voice)", 劇場版 ソードアート・オンライン-プログレッシブ- 星なき夜のアリア, Released, Japanese,20011197.0,14037060.0,AU
Summer Ghost,11/12/2021 ,72.0,"Animation, Drama, Mystery, Fantasy","An urban legend says that lighting fireworks at an abandoned airfield will beckon the ""summer ghost,"" a spirit that can answer any question. Three teenagers, Tomoya, Aoi, and Ryo, each have their own reason to show up one day. When a ghost named Ayane appears, she reveals she is only visible to those ""who are about to touch their death."" Compelled by the ghost and her message, Tomoya begins regularly visiting the airfield to uncover the true purpose of her visits.","Chiaki Kobayashi, Tomoya Sugisaki (voice), Miyuri Shimabukuro, Aoi Harukawa (voice), Rina Kawaei, Ayane Sato (voice), Nobunaga Shimazaki, Ryo Kobayashi (voice)",Summer Ghost, Released, Japanese,107200000.0,632203108.6,JP
Resident Evil: Welcome to Raccoon City,12/09/2021 ,61.0,"Horror, Science Fiction, Action","Once the booming home of pharmaceutical giant Umbrella Corporation, Raccoon City is now a dying Midwestern town. The company’s exodus left the city a wasteland…with great evil brewing below the surface. When that evil is unleashed, the townspeople are forever…changed…and a small group of survivors must work together to uncover the truth behind Umbrella and make it through the night.","Kaya Scodelario, Claire Redfield, Hannah John-Kamen, Jill Valentine, Robbie Amell, Chris Redfield, Tom Hopper, Albert Wesker, Avan Jogia, Leon Kennedy, Donal Logue, Chief Irons, Neal McDonough, William Birkin, Lily Gao, Ada Wong, Chad Rook, Richard Aiken",Resident Evil: Welcome to Raccoon City, Released, English,25000000.0,41909091.0,AU
Laid-Back Camp The Movie,07/01/2022 ,76.0,"Animation, Comedy","Your favorite cozy camping anime returns with a movie as the former members of the Outdoors Club get together again, this time to build a campsite! Reunite with Nadeshiko, Rin, Chiaki, Aoi, and Ena as they gather around the campfire once more with good food and good company.","Yumiri Hanamori, Nadeshiko Kagamihara (voice), Nao Toyama, Rin Shima (voice), Sayuri Hara, Chiaki Ogaki (voice), Aki Toyosaki, Aoi Inuyama (voice), Rie Takahashi, Ena Saito (voice), Kentaro Tone, Kariya (voice), Yutaka Aoyama, Editor-in-chief (voice), Natsu Yorita, Komaki Store Manager (voice), Yoji Ueda, Shirakawa (voice)", 映画『ゆるキャン△』, Released, Japanese,13187504.6,7283918.0,JP
The Pale Blue Eye,12/22/2022 ,70.0,"Mystery, Thriller","West Point, New York, 1830. When a cadet at the burgeoning military academy is found hanged with his heart cut out, the top brass summons former New York City constable Augustus Landor to investigate. While attempting to solve this grisly mystery, the reluctant detective engages the help of one of the cadets: a strange but brilliant young fellow by the name of Edgar Allan Poe","Christian Bale, Augustus Landor, Harry Melling, Edgar Allan Poe, Lucy Boynton, Lea Marquis, Toby Jones, Dr. Daniel Marquis, Simon McBurney, Captain Hitchcock, Timothy Spall, Superintendent Thayer, Robert Duvall, Jean-Pepe, Harry Lawtey, Artemus Marquis, Gillian Anderson, Julia Marquis",The Pale Blue Eye, Released, English,72000000.0,214883443.8,AU
The Lion King,08/25/1994 ,83.0,"Family, Animation, Drama","A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?","Matthew Broderick, Simba (voice), James Earl Jones, King Mufasa (voice), Jeremy Irons, Scar (voice), Rowan Atkinson, Zazu the Hornbill (voice), Moira Kelly, Nala (voice), Whoopi Goldberg, Shenzi the Hyena (voice), Cheech Marin, Banzai the Hyena (voice), Jim Cummings, ED the Hyena (voice) / Scar (singing voice), Robert Guillaume, Rafiki (voice)",The Lion King, Released, English,260000000.0,1647733638.0,AU
The Lion King,08/25/1994 ,83.0,"Family, Animation, Drama","A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?","Matthew Broderick, Simba (voice), James Earl Jones, King Mufasa (voice), Jeremy Irons, Scar (voice), Rowan Atkinson, Zazu the Hornbill (voice), Moira Kelly, Nala (voice), Whoopi Goldberg, Shenzi the Hyena (voice), Cheech Marin, Banzai the Hyena (voice), Jim Cummings, ED the Hyena (voice) / Scar (singing voice), Robert Guillaume, Rafiki (voice)",The Lion King, Released, English,79300000.0,986193783.0,AU
Avengers: Age of Ultron,04/23/2015 ,73.0,"Action, Adventure, Science Fiction","When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","Robert Downey Jr., Tony Stark / Iron Man, Chris Hemsworth, Thor Odinson, Mark Ruffalo, Bruce Banner / The Hulk, Chris Evans, Steve Rogers / Captain America, Scarlett Johansson, Natasha Romanoff / Black Widow, Jeremy Renner, Clint Barton / Hawkeye, James Spader, Ultron (voice), Samuel L. Jackson, Nick Fury, Don Cheadle, James ""Rhodey"" Rhodes / War Machine",Avengers: Age of Ultron, Released, English,365000000.0,1395316979.0,AU
Me Before You,06/16/2016 ,79.0,"Drama, Romance","A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.","Emilia Clarke, Louisa 'Lou' Clark, Sam Claflin, William 'Will' Traynor, Janet McTeer, Camilla Traynor, Charles Dance, Stephen Traynor, Brendan Coyle, Bernard Clark, Jenna Coleman, Katrina 'Treena' Clark, Matthew Lewis, Patrick, Samantha Spiro, Josie Clark, Stephen Peacocke, Nathan",Me Before You, Released, English,20000000.0,208064908.0,AU
